method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
MahalanobisMMD,Set3,"(0.05, 1.05)",50,100,100,1,0.007726462000391621,0.0
MahalanobisMMD,Set3,"(0.05, 1.05)",100,100,100,1,0.009066970000276342,0.0
MahalanobisMMD,Set3,"(0.05, 1.05)",500,100,100,1,0.023197108999738703,0.0
MahalanobisMMD,Set3,"(0.05, 1.05)",1000,100,100,1,0.040648331000738835,0.0
MartingaleMMD,Set1,"(0.05, 0.5)",50,100,100,1,0.001151491999735299,0.0
MartingaleMMD,Set1,"(0.05, 0.5)",100,100,100,1,0.0014913230006641243,0.0
MartingaleMMD,Set1,"(0.05, 0.5)",500,100,100,1,0.005644395000672375,0.0
MartingaleMMD,Set1,"(0.05, 0.5)",1000,100,100,1,0.010794869000164908,0.0
MartingaleMMD,Set1,"(0.1, 1.3)",50,100,100,1,0.000917710000067018,0.0
MartingaleMMD,Set1,"(0.1, 1.3)",100,100,100,1,0.0014135559995338554,0.0
MartingaleMMD,Set1,"(0.1, 1.3)",500,100,100,1,0.005442263999611896,0.0
MartingaleMMD,Set1,"(0.1, 1.3)",1000,100,100,1,0.010485124999831896,0.0
MartingaleMMD,Set1,"(-0.05, 0.6)",50,100,100,1,0.0007969230000526295,0.0
MartingaleMMD,Set1,"(-0.05, 0.6)",100,100,100,1,0.0014064419992791954,0.0
MartingaleMMD,Set1,"(-0.05, 0.6)",500,100,100,1,0.005468593999466975,0.0
MartingaleMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,0.010590042999865545,0.0
MartingaleMMD,Set2,3,50,100,100,1,0.0008984239993878873,0.0
MartingaleMMD,Set2,3,100,100,100,1,0.0013962630000605714,0.0
MartingaleMMD,Set2,3,500,100,100,1,0.005403371000284096,0.0
MartingaleMMD,Set2,3,1000,100,100,1,0.010528596999392903,0.0
MartingaleMMD,Set2,5,50,100,100,1,0.0009755199998835451,0.0
MartingaleMMD,Set2,5,100,100,100,1,0.0013965130001452053,0.0
MartingaleMMD,Set2,5,500,100,100,1,0.0054385160001402255,0.0
MartingaleMMD,Set2,5,1000,100,100,1,0.010560706999967806,0.0
MartingaleMMD,Set2,10,50,100,100,1,0.0009716120002849493,0.0
MartingaleMMD,Set2,10,100,100,100,1,0.001451347000511305,0.0
MartingaleMMD,Set2,10,500,100,100,1,0.0054758070000389125,0.0
MartingaleMMD,Set2,10,1000,100,100,1,0.01059788699967612,0.0
MartingaleMMD,Set3,"(-0.05, 0.85)",50,100,100,1,0.0009485189993938548,0.0
MartingaleMMD,Set3,"(-0.05, 0.85)",100,100,100,1,0.001397867000378028,0.0
MartingaleMMD,Set3,"(-0.05, 0.85)",500,100,100,1,0.005453886000395869,0.0
MartingaleMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,0.01102096500017069,0.0
MartingaleMMD,Set3,"(0.0, 1.1)",50,100,100,1,0.0010307439997632173,0.0
MartingaleMMD,Set3,"(0.0, 1.1)",100,100,100,1,0.0014360079994730768,0.0
MartingaleMMD,Set3,"(0.0, 1.1)",500,100,100,1,0.005581407000136096,0.0
MartingaleMMD,Set3,"(0.0, 1.1)",1000,100,100,1,0.011051952999878267,0.0
MartingaleMMD,Set3,"(0.05, 1.05)",50,100,100,1,0.0010342499999751453,0.0
MartingaleMMD,Set3,"(0.05, 1.05)",100,100,100,1,0.0014040679998288397,0.0
MartingaleMMD,Set3,"(0.05, 1.05)",500,100,100,1,0.0056834480001271,0.0
MartingaleMMD,Set3,"(0.05, 1.05)",1000,100,100,1,0.011035571999855165,0.0
xMMD,Set1,"(0.05, 0.5)",50,100,100,1,0.0009286410004278878,0.0
xMMD,Set1,"(0.05, 0.5)",100,100,100,1,0.0012097419994461234,0.0
xMMD,Set1,"(0.05, 0.5)",500,100,100,1,0.004239124999912747,0.0
xMMD,Set1,"(0.05, 0.5)",1000,100,100,1,0.008046345000366273,0.0
xMMD,Set1,"(0.1, 1.3)",50,100,100,1,0.0007943579994389438,0.0
xMMD,Set1,"(0.1, 1.3)",100,100,100,1,0.0011044129996662377,0.0
xMMD,Set1,"(0.1, 1.3)",500,100,100,1,0.004097066999747767,0.0
xMMD,Set1,"(0.1, 1.3)",1000,100,100,1,0.007833152999410231,0.0
xMMD,Set1,"(-0.05, 0.6)",50,100,100,1,0.0007448750002367888,0.0
xMMD,Set1,"(-0.05, 0.6)",100,100,100,1,0.0011260440005571581,0.0
xMMD,Set1,"(-0.05, 0.6)",500,100,100,1,0.004055889000483148,0.0
xMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,0.007769052000185184,0.0
xMMD,Set2,3,50,100,100,1,0.000673630999699526,0.0
xMMD,Set2,3,100,100,100,1,0.001098751999961678,0.0
xMMD,Set2,3,500,100,100,1,0.003967571999965003,0.0
xMMD,Set2,3,1000,100,100,1,0.007746530000076746,0.0
xMMD,Set2,5,50,100,100,1,0.0006780690000596223,0.0
xMMD,Set2,5,100,100,100,1,0.0011113259997728164,0.0
xMMD,Set2,5,500,100,100,1,0.003986808999798086,0.0
xMMD,Set2,5,1000,100,100,1,0.007763120999698003,0.0
xMMD,Set2,10,50,100,100,1,0.0007597819994771271,0.0
xMMD,Set2,10,100,100,100,1,0.001107889999730105,0.0
xMMD,Set2,10,500,100,100,1,0.00406027700046252,0.0
xMMD,Set2,10,1000,100,100,1,0.00769600400053605,0.0
xMMD,Set3,"(-0.05, 0.85)",50,100,100,1,0.000778238000748388,0.0
xMMD,Set3,"(-0.05, 0.85)",100,100,100,1,0.0011308020002616104,0.0
xMMD,Set3,"(-0.05, 0.85)",500,100,100,1,0.004070246000082989,0.0
xMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,0.008154158999786887,0.0
xMMD,Set3,"(0.0, 1.1)",50,100,100,1,0.0008155880004778737,0.0
xMMD,Set3,"(0.0, 1.1)",100,100,100,1,0.0010832729994945112,0.0
xMMD,Set3,"(0.0, 1.1)",500,100,100,1,0.004196965000119235,0.0
xMMD,Set3,"(0.0, 1.1)",1000,100,100,1,0.00822299799983739,0.0
xMMD,Set3,"(0.05, 1.05)",50,100,100,1,0.0007604540005559102,0.0
xMMD,Set3,"(0.05, 1.05)",100,100,100,1,0.0012032690001433366,0.0
xMMD,Set3,"(0.05, 1.05)",500,100,100,1,0.0042467490002309205,0.0
xMMD,Set3,"(0.05, 1.05)",1000,100,100,1,0.008193853000193485,0.0
MMDFUSE,Set1,"(0.05, 0.5)",50,100,100,1,0.31241977799982124,0.0
MMDFUSE,Set1,"(0.05, 0.5)",100,100,100,1,0.30951830499998323,0.0
MMDFUSE,Set1,"(0.05, 0.5)",500,100,100,1,0.31606449100036116,0.0
MMDFUSE,Set1,"(0.05, 0.5)",1000,100,100,1,0.32453867299955164,0.0
MMDFUSE,Set1,"(0.1, 1.3)",50,100,100,1,0.30979015799948684,0.0
MMDFUSE,Set1,"(0.1, 1.3)",100,100,100,1,0.3093185489997268,0.0
MMDFUSE,Set1,"(0.1, 1.3)",500,100,100,1,0.31579141700058244,0.0
MMDFUSE,Set1,"(0.1, 1.3)",1000,100,100,1,0.3245596120004848,0.0
MMDFUSE,Set1,"(-0.05, 0.6)",50,100,100,1,0.3100504690000889,0.0
MMDFUSE,Set1,"(-0.05, 0.6)",100,100,100,1,0.309861493000426,0.0
MMDFUSE,Set1,"(-0.05, 0.6)",500,100,100,1,0.31569078599932254,0.0
